park_id,name,address,city,state,zip_code,phone,url,map_url,map_google,alltrails,gps_lat,gps_long,police_1_id,police_2_id,medical_1_id,medical_2_id,drive_time,drive_miles,rating,comment
1,French Creek,843 Park Rd,Elverson,PA,19520,610-582-9680,http://www.dcnr.pa.gov/StateParks/FindAPark/FrenchCreekStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/FrenchCreekStatePark/Pages/Maps.aspx,"https://www.google.com/maps/place/French+Creek+State+Park/@40.198383,-75.7940178,17z/data=!3m1!4b1!4m5!3m4!1s0x89c663171f5b8949:0x7ee5dd07e455886c!8m2!3d40.1983789!4d-75.7918238",,40.1984,-75.7918,911,,911,Reading Hospital,1,47,3,Zack and I had our first campout here with PIC in a Group Camping site. It was also the fIrst state park that Zack and I used extensively when he was growing up. Favorite places included Miller's Point and Hopewell Lake. 
2,Fairmount-Wissahickon,,Philadelphia,PA,19128,215-247-0417,https://www.fow.org/,https://www.fow.org/visit-the-park/maps/,https://www.google.com/maps/d/u/0/viewer?mid=13bnd0IRNwzTpI7VFPASNSWXC5yk&ll=40.04902385438254%2C-75.2114775&z=12,,,,911,,911,Roxborough Hospital,0.08,1,5,
3,Allegheny National Forest,4 Farm Colony Drive,Warren,PA,16235,814-723-5150,https://www.fs.usda.gov/main/allegheny/home,https://www.fs.usda.gov/detailfull/allegheny/maps-pubs/?cid=FSMRS_073013&width=full,"https://www.google.com/maps/place/Allegheny+National+Forest/@41.6487867,-79.2863031,10z/data=!4m5!3m4!1s0x89cd23ea28582a9b:0xf07b8e42353dcfd3!8m2!3d41.6487827!4d-79.0061464",,,,,,,,5,300,,
4,Lehigh Gorge - Rockport Access,See GPS,Rockport,PA,,570-443-0400,http://www.dcnr.pa.gov/StateParks/FindAPark/LehighGorgeStatePark/Pages/default.aspx,http://www.docs.dcnr.pa.gov/cs/groups/public/documents/document/dcnr_003766.pdf,"https://www.google.com/maps/place/Rockport,+Lehigh+Township,+PA+18255/data=!4m2!3m1!1s0x89c5ab9d1e0e97d7:0xd51c13164ae0c7f?sa=X&ved=0ahUKEwik4bKriaPaAhVSylMKHbtjCRMQ8gEIiAEwCg",,40.9667,-75.7551,,,Lehigh Valley Hospital-Hazleton,,1.7,94,,Rockport is one of 3 entrances to the park. It is administered from nearby Hickory Run State Park.
5,Hopewell Furnace,2 Mark Bird Lane ,Elverson,PA,19520,610-582-8773,https://www.nps.gov/hofu/index.htm,https://www.nps.gov/hofu/planyourvisit/maps.htm,"https://www.google.com/maps?ll=40.198611,-75.775556&q=40.198611,-75.775556&hl=en&t=m&z=14",,40.2069,-75.7735,911,,911,,1,43,3,"Located in southeastern Berks County, near Elverson, Pennsylvania, is an example of an American 19th century rural ""iron plantation"". The buildings include a blast furnace, and auxiliary structures."
6,Dead Man's Hollow Conservation Area,"Sceneridge Road, McKeesport, PA 15133",McKeesport,PA,15133,412-741-2750,https://alleghenylandtrust.org/green-space/dead-mans-hollow/,https://alleghenylandtrust.org/wp-content/uploads/2017/05/2017-DMH-Trial-Map-UPDATES.jpg,"https://www.google.com/maps/place/Dead+Man's+Hollow+Conservation+Area/@40.3207147,-79.859266,17z/data=!3m1!4b1!4m5!3m4!1s0x8834e5ba0087f313:0x1cce73ddc3e0a78e!8m2!3d40.3133509!4d-79.84508",,40.3133509,-79.84508,,,,,5.1,300,,Maintained by Allegheny Land Trust. Several ruins on the trails. 
7,State Game Lands 211,,Halifax,PA,17032,717-787-4250,https://www.alltrails.com/parks/us/pennsylvania/state-game-lands-number-211,http://www.pgc.pa.gov/HuntTrap/StateGameLands/Documents/SGL%20Maps/SGL__211.pdf,"https://www.google.com/maps/place/State+Game+Lands+No+211/@40.4744766,-76.6528225,15z/data=!4m2!3m1!1s0x0:0x17d00464251ccd60?sa=X&ved=0ahUKEwjok8OhvqjaAhUrrlkKHXWmDw0Q_BIIlwEwCg",,40.4744766,-76.6528225,,,,,2,96,,
8,Loyalsock State Forest,6735 Route 220,"Dushore, PA 18614",PA,18614,570-946-4049,http://www.dcnr.pa.gov/StateForests/FindAForest/Loyalsock/Pages/default.aspx,http://www.dcnr.pa.gov/StateForests/FindAForest/Loyalsock/Pages/Maps.aspx,http://www.dcnr.pa.gov/StateForests/FindAForest/Loyalsock/Pages/Maps.aspx,https://www.alltrails.com/parks/us/pennsylvania/loyalsock-state-forest,,,,,,,3.3,170,,Address is for Loyalsock District Office.
9,Valley Forge,1400 N Outer Line Dr.,King of Prussia,PA,19406,610-783-1000,https://www.nps.gov/vafo/index.htm,,http://www.hstrail.org/,,,,911,,911,,0.5,16,,
10,Michaux,10099 Lincoln Way East,Fayetteville,PA,17222,717-352-2211,http://www.dcnr.pa.gov/StateForests/FindAForest/Michaux/Pages/default.aspx,http://www.dcnr.pa.gov/StateForests/FindAForest/Michaux/Pages/Maps.aspx,"https://www.google.com/maps/place/Michaux+State+Forest/@39.9972172,-77.3670101,15z/data=!4m2!3m1!1s0x0:0x9d24777ad1cfd151?sa=X&ved=0ahUKEwj4477p_araAhXo4IMKHUKNBAsQ_BIIpQEwDg",https://www.alltrails.com/parks/us/maryland/michaux-state-forest,,,,,,,2.3,142,,Address is District Office.
