table2tag_id,table_id,tag_id,table_name
1,1,3,park
2,2,3,park
3,3,3,park
4,4,3,park
5,5,3,park
6,1,4,park
7,4,4,park
8,5,5,park
9,2,10,park
10,1,1,destination
11,1,2,destination
12,6,13,park
13,11,13,trail
14,12,14,trail
15,9,3,park
16,13,3,trail
17,14,3,trail
18,2,15,destination
19,15,13,trail
20,10,16,park
21,10,3,park
22,11,3,park
23,11,4,park
24,10,13,park
25,17,13,trail
26,12,17,park
27,13,3,park
28,13,4,park
29,5,3,destination
30,5,4,destination
31,9,13,destination
32,20,3,trail
33,21,3,trail
34,22,3,trail
35,23,3,trail
36,14,3,park
37,15,3,park
38,16,3,park
39,17,3,park
40,18,3,park
41,23,3,trail
42,24,3,trail
43,20,13,park
44,20,3,park
45,26,13,trail
46,15,13,destination
47,15,3,destination
48,28,3,trail
49,20,3,park
50,16,3,destination
51,16,18,destination
52,25,19,park
53,26,4,park
54,26,20,park
55,27,13,park
56,27,21,park
57,27,3,park
58,32,3,trail
59,32,12,trail
60,33,3,trail
61,33,12,trail
62,33,22,trail
63,28,3,park
64,28,4,park
65,34,3,trail
66,34,20,trail
67,34,19,trail
68,24,3,destination
69,24,18,destination
70,18,3,destination
71,31,3,park
72,34,3,park
73,34,4,park
74,35,23,park
75,35,3,park
76,14,13,park
77,42,24,destination
78,43,24,destination
79,44,3,destination
80,44,25,destination
81,44,26,destination
82,51,13,destination
83,54,12,destination
